Key,ETag,Article Citation,AccessionID,Last Updated UTC (YYYY-MM-DD HH:MM:SS),PMID,License,Retracted
oa_comm/xml/all/PMC1044836.xml,d1a5b802c3eb30ff8b99f986b3338ee8,PLoS Biol. 2005 Mar 22; 3(3):e99,PMC1044836,2022-01-13 07:57:18,15736982,CC BY,no
oa_comm/xml/all/PMC1044837.xml,3c4ef2496442c5a3263959321687a4b7,PLoS Biol. 2005 Mar 22; 3(3):e103,PMC1044837,2022-01-13 08:01:35,15736983,CC BY,no
oa_comm/xml/all/PMC1044838.xml,6fea46c583225b2d51a6a636f6d775b7,PLoS Biol. 2005 Mar 22; 3(3):e104,PMC1044838,2022-01-13 07:57:12,15736984,CC BY,no
oa_comm/xml/all/PMC1044839.xml,841b346e73e02603766fddbd155438eb,PLoS Biol. 2005 Mar 22; 3(3):e108,PMC1044839,2022-01-13 08:01:33,15736985,CC BY,no
oa_comm/xml/all/PMC1044840.xml,8e1e15ed68caadf23f47989fefb7d99d,PLoS Biol. 2005 Mar 22; 3(3):e109,PMC1044840,2022-01-13 08:01:35,15736986,CC BY,no
oa_comm/xml/all/PMC1044841.xml,9de0f5daa75497305dce970a35a75ef9,PLoS Biol. 2005 Mar 22; 3(3):e116,PMC1044841,2022-01-13 07:57:10,15736987,CC BY,no
oa_comm/xml/all/PMC1054879.xml,52e9b6580f7895b1f7d74ba0dc2c40b6,PLoS Biol. 2005 Mar 1; 3(3):e67,PMC1054879,2022-01-13 07:57:12,15737020,CC BY,no
oa_comm/xml/all/PMC1054880.xml,a6205a9aa09e4af8b63d42f40e4f4053,PLoS Biol. 2005 Mar 1; 3(3):e68,PMC1054880,2022-01-13 07:57:11,15737062,CC BY,no
oa_comm/xml/all/PMC1054881.xml,732756bd1e914496a045c14e6c516517,PLoS Biol. 2005 Mar 1; 3(3):e69,PMC1054881,2022-01-13 07:57:11,15737063,CC BY,no
oa_comm/xml/all/PMC1054882.xml,5cbea61c00b99f724be0d66d5998a229,PLoS Biol. 2005 Mar 1; 3(3):e86,PMC1054882,2022-01-13 08:01:39,15737064,CC BY,no
oa_comm/xml/all/PMC1054883.xml,ca05343ee57d43dc1f9c52b80c6b97e0,PLoS Biol. 2005 Mar 1; 3(3):e88,PMC1054883,2022-01-13 08:01:39,15737065,CC BY,no
oa_comm/xml/all/PMC1054884.xml,4cca6f6118aaef70068bb8b95d04d10c,PLoS Biol. 2005 Mar 1; 3(3):e89,PMC1054884,2022-01-13 08:01:39,15737066,CC BY,no
oa_comm/xml/all/PMC1054885.xml,02b99cf411242aa463d45841bb80b9f8,PLoS Biol. 2005 Mar 1; 3(3):e98,PMC1054885,2022-01-13 07:57:14,0,CC BY,no
oa_comm/xml/all/PMC1054886.xml,6dbaaf21bcee3f3c7ca9555e4949d1be,PLoS Biol. 2005 Mar 1; 3(3):e106,PMC1054886,2022-01-13 08:01:38,0,CC BY,no
oa_comm/xml/all/PMC1054887.xml,be5e43d8a85d7bba7550630cb37e32c5,PLoS Biol. 2005 Apr 1; 3(4):e110,PMC1054887,2022-01-13 07:57:12,15737067,CC BY,no
oa_comm/xml/all/PMC1054888.xml,370b1f94ed0c5a01dde64eb6a0889d07,PLoS Biol. 2005 Mar 1; 3(3):e111,PMC1054888,2022-01-13 08:01:40,0,CC BY,no
oa_comm/xml/all/PMC1054889.xml,05d1bc0faaa7f13c402cf8721557f25a,PLoS Biol. 2005 Mar 1; 3(3):e115,PMC1054889,2022-01-13 07:57:11,0,CC BY,no
oa_comm/xml/all/PMC1054890.xml,19427af064fba2f759e743265f9993bd,PLoS Biol. 2005 Mar 1; 3(3):e117,PMC1054890,2022-01-13 08:01:38,0,CC BY,no
oa_comm/xml/all/PMC1054891.xml,8ea3e9ba0bc918d4d4a45a6eb3308069,PLoS Biol. 2005 Apr 1; 3(4):e126,PMC1054891,2022-01-13 07:57:11,0,CC BY,no
oa_comm/xml/all/PMC1059451.xml,fabebdfc336dd984fd85abb8691e2d21,PLoS Biol. 2005 Mar 8; 3(3):e82,PMC1059451,2022-01-13 07:57:12,15752064,CC BY,no
oa_comm/xml/all/PMC1059452.xml,06ebf13ebd1b4619c12dc468a9571f47,PLoS Biol. 2005 Mar 8; 3(3):e112,PMC1059452,2022-01-13 07:57:12,0,CC BY,no
oa_comm/xml/all/PMC1062889.xml,735c65024928493a73bfaf5589b89ab2,PLoS Med. 2005 Apr 14; 2(4):e100,PMC1062889,2022-01-14 07:49:40,15755195,CC BY,no
oa_comm/xml/all/PMC1064074.xml,7f2080ade3d8f376d41e78fc0b4dc0d7,Breast Cancer Res. 2004 Sep 13; 6(6):R616-R628,PMC1064074,2022-01-13 07:34:55,15535843,CC BY,no
oa_comm/xml/all/PMC1064075.xml,7f33beef79b2f57bdd7a24160946a23a,Breast Cancer Res. 2004 Sep 22; 6(6):R636-R639,PMC1064075,2022-01-13 07:59:30,15535845,CC BY,no
oa_comm/xml/all/PMC1064076.xml,1e8145d97bdc0f1720856579deafc6d5,Breast Cancer Res. 2004 Sep 22; 6(6):R647-R655,PMC1064076,2022-01-13 07:34:54,15535847,CC BY,no
oa_comm/xml/all/PMC1064077.xml,4a43b0298e6523f3765c92ace185cc06,Breast Cancer Res. 2004 Oct 6; 6(6):R668-R679,PMC1064077,2022-01-13 07:34:54,15535849,CC BY,no
oa_comm/xml/all/PMC1064078.xml,7d2bd1ee838ac7f1d792b3a4963803b9,Breast Cancer Res. 2004 Sep 22; 6(6):R656-R667,PMC1064078,2022-01-13 07:34:54,15535848,CC BY,no
oa_comm/xml/all/PMC1064080.xml,c6f09a45c296b31161b49670d4c309bc,Breast Cancer Res. 2004 Sep 22; 6(6):R629-R635,PMC1064080,2022-01-13 07:34:54,15535844,CC BY,no
oa_comm/xml/all/PMC1064081.xml,34d8d56cf582b25e95a3df35bacb3c26,Breast Cancer Res. 2004 Oct 6; 6(6):R680-R688,PMC1064081,2022-01-13 07:34:55,15535850,CC BY,no
oa_comm/xml/all/PMC1064082.xml,1956ebdb43b12883224288f1e65abe0e,Breast Cancer Res. 2004 Sep 22; 6(6):R640-R646,PMC1064082,2022-01-13 07:34:55,15535846,CC BY,no
oa_comm/xml/all/PMC1064084.xml,3cf12eb875a2f30599f819a127815e43,Breast Cancer Res. 2004 Oct 11; 6(6):R689-R696,PMC1064084,2022-01-13 07:34:54,15535851,CC BY,no
oa_comm/xml/all/PMC1064093.xml,c87344bba3bdabf48856366967580021,Breast Cancer Res. 2005 Nov 4; 7(1):R19-R27,PMC1064093,2022-01-13 07:34:55,15642166,CC BY,no
oa_comm/xml/all/PMC1064094.xml,f61f290d8f6f45ff0c4c74a8935c5463,Breast Cancer Res. 2005 Oct 22; 7(1):R1-R11,PMC1064094,2022-01-13 07:34:56,15642157,CC BY,no
oa_comm/xml/all/PMC1064095.xml,bf34265975b021af42d076a2074a3395,Breast Cancer Res. 2005 Oct 22; 7(1):R12-R18,PMC1064095,2022-01-13 07:32:04,15642161,CC BY,no
oa_comm/xml/all/PMC1064097.xml,d390b8c30f095f5464216e97f269cfe0,Breast Cancer Res. 2005 Nov 8; 7(1):R33-R45,PMC1064097,2022-01-13 07:32:04,15642168,CC BY,no
oa_comm/xml/all/PMC1064098.xml,7f78686cd48c86f501a0535da54b8631,Breast Cancer Res. 2005 Nov 8; 7(1):R46-R59,PMC1064098,2022-01-13 07:34:57,15642169,CC BY,no
oa_comm/xml/all/PMC1064099.xml,7dea7f4db1bc3ba26a9824a78dce6a5b,Breast Cancer Res. 2005 Nov 4; 7(1):R28-R32,PMC1064099,2022-01-13 07:32:04,15642167,CC BY,no
oa_comm/xml/all/PMC1064100.xml,bf3f323f181a971abbb3b69e7d4fbee8,Breast Cancer Res. 2005 Nov 11; 7(1):R71-R81,PMC1064100,2022-01-13 07:32:04,15642171,CC BY,no
oa_comm/xml/all/PMC1064101.xml,3aac05988b56dab45ba9f0f8b6a25c3e,Breast Cancer Res. 2005 Nov 19; 7(1):R93-R100,PMC1064101,2022-01-13 07:32:03,15642173,CC BY,no
oa_comm/xml/all/PMC1064102.xml,9cb5d5b1a93d0b142e96bed481b0a890,Breast Cancer Res. 2005 Nov 16; 7(1):R82-R92,PMC1064102,2022-01-13 07:34:55,15642172,CC BY,no
oa_comm/xml/all/PMC1064103.xml,97494d54b53673f44ca68a8d539dd77a,Breast Cancer Res. 2005 Nov 8; 7(1):R60-R70,PMC1064103,2022-01-13 07:34:56,15642170,CC BY,no
oa_comm/xml/all/PMC1064104.xml,d3a0fa00440d5244c5760ee71c3617dd,Breast Cancer Res. 2005 Nov 24; 7(1):R101-R112,PMC1064104,2022-01-13 07:34:57,15642158,CC BY,no
oa_comm/xml/all/PMC1064105.xml,191c60d4840a9211cabe02703ef08a77,Breast Cancer Res. 2005 Nov 26; 7(1):R130-R144,PMC1064105,2022-01-13 07:34:57,15642162,CC BY,no
oa_comm/xml/all/PMC1064108.xml,353f4bc862084b946927c1cc556d93ec,Breast Cancer Res. 2005 Nov 29; 7(1):R145-R155,PMC1064108,2022-01-13 07:34:56,15642163,CC BY,no
oa_comm/xml/all/PMC1064109.xml,d9f2e148efbec13d752567b20f7ccd4b,Breast Cancer Res. 2005 Nov 23; 7(1):R119-R129,PMC1064109,2022-01-13 07:34:55,15642160,CC BY,no
oa_comm/xml/all/PMC1064111.xml,166c114d563d16f5826805e284af0736,Breast Cancer Res. 2005 Nov 23; 7(1):R113-R118,PMC1064111,2022-01-13 07:34:55,15642159,CC BY,no
oa_comm/xml/all/PMC1064114.xml,56af82a2e085910107da164e8dbf1353,Breast Cancer Res. 2005 Dec 10; 7(1):R164-R170,PMC1064114,2022-01-13 07:34:57,15642165,CC BY,no
oa_comm/xml/all/PMC1064115.xml,2d03e146b908f593502311a5cf256bec,Breast Cancer Res. 2005 Dec 7; 7(1):R156-R163,PMC1064115,2022-01-13 07:34:56,15642164,CC BY,no
oa_comm/xml/all/PMC1064126.xml,0d0b37a802106203e452979a28fda3d8,Breast Cancer Res. 2005 Dec 16; 7(2):R176-R183,PMC1064126,2022-01-13 07:32:04,15743497,CC BY,no
oa_comm/xml/all/PMC1064127.xml,c0d293e00072fa50b815211d31784107,Breast Cancer Res. 2005 Dec 16; 7(2):R171-R175,PMC1064127,2022-01-13 07:32:05,15743496,CC BY,no
oa_comm/xml/all/PMC1064128.xml,1dc39dee226c73c55ecc456f647558a5,Breast Cancer Res. 2005 Dec 23; 7(2):R184-R193,PMC1064128,2022-01-13 07:32:05,15743498,CC BY,no
oa_comm/xml/all/PMC1064129.xml,4f39b61a68d7166ecb05c46570baa944,Breast Cancer Res. 2005 Dec 17; 7(2):R220-R228,PMC1064129,2022-01-13 07:34:58,15743499,CC BY,no
oa_comm/xml/all/PMC1064130.xml,ee5edfb0875d9e70d83912b9fdc5947b,Breast Cancer Res. 2005 Jan 14; 7(2):R229-R237,PMC1064130,2022-01-13 07:32:05,15743503,CC BY,no
oa_comm/xml/all/PMC1064131.xml,02ee7444624213997bd289f9a649b533,Breast Cancer Res. 2005 Jan 7; 7(2):R194-R203,PMC1064131,2022-01-13 07:34:58,15743500,CC BY,no
oa_comm/xml/all/PMC1064132.xml,c859727565a276ede26bb1bc1ce600fe,Breast Cancer Res. 2005 Jan 14; 7(2):R238-R247,PMC1064132,2022-01-13 07:32:05,15743504,CC BY,no
oa_comm/xml/all/PMC1064134.xml,b7914d8b9cbcf5190c960389bc252c7c,Breast Cancer Res. 2005 Jan 10; 7(2):R210-R219,PMC1064134,2022-01-13 07:34:57,15743502,CC BY,no
oa_comm/xml/all/PMC1064135.xml,0b2eb1ef4b007404595df3cbe0a93ed6,Breast Cancer Res. 2005 Jan 12; 7(2):R204-R209,PMC1064135,2022-01-13 07:32:05,15743501,CC BY,no
oa_comm/xml/all/PMC1064136.xml,3cd77f21c3d96fe66d3f8ce5f5dc9af1,Breast Cancer Res. 2005 Jan 31; 7(2):R296-R305,PMC1064136,2022-01-13 07:34:57,15743508,CC BY,no
oa_comm/xml/all/PMC1064138.xml,f64e063d324feddb750f71015014ce6d,Breast Cancer Res. 2005 Jan 17; 7(2):R248-R255,PMC1064138,2022-01-13 07:34:58,15743505,CC BY,no
oa_comm/xml/all/PMC1064139.xml,ce89e31332306f22878c98fd1e9368da,Breast Cancer Res. 2005 Jan 26; 7(2):R256-R266,PMC1064139,2022-01-13 07:34:58,15743506,CC BY,no
oa_comm/xml/all/PMC1064140.xml,c634a4f3129607213f85b3b9565561cb,Breast Cancer Res. 2005 Jan 26; 7(2):R267-R273,PMC1064140,2022-01-13 07:32:05,15743507,CC BY,no
oa_comm/xml/all/PMC1064849.xml,5abd39421145e1b566e3dfdf7c706e5b,PLoS Biol. 2005 Apr 15; 3(4):e87,PMC1064849,2022-01-13 07:57:15,15757365,CC0,no
oa_comm/xml/all/PMC1064850.xml,2af5040b3ee74aecc0efbb87bd1c8e56,PLoS Biol. 2005 Apr 15; 3(4):e92,PMC1064850,2022-01-13 08:01:38,15757363,CC BY,no
oa_comm/xml/all/PMC1064851.xml,ad9f16ab3c83a617caa92c8635d5ca75,PLoS Biol. 2005 Apr 15; 3(4):e93,PMC1064851,2022-01-13 07:57:15,15757364,CC BY,no
oa_comm/xml/all/PMC1064852.xml,8bc9eba7100ead73d48fbb65b870b8c7,PLoS Biol. 2005 Apr 15; 3(4):e95,PMC1064852,2022-01-13 07:57:14,15760278,CC BY,no
oa_comm/xml/all/PMC1064853.xml,2badcbe8da13242b2995db0bf52ddeb9,PLoS Biol. 2005 Apr 15; 3(4):e96,PMC1064853,2022-01-13 08:01:38,15760269,CC BY,no
oa_comm/xml/all/PMC1064854.xml,3a28929632e9af5c1532f58d43246bf6,PLoS Biol. 2005 Apr 15; 3(4):e101,PMC1064854,2022-01-13 07:57:13,15760270,CC BY,no
oa_comm/xml/all/PMC1064855.xml,fda7e53d0bd65308458a3bf147d3296a,PLoS Biol. 2005 Apr 15; 3(4):e125,PMC1064855,2022-01-13 07:57:15,0,CC BY,no
oa_comm/xml/all/PMC1064856.xml,b1551b56d8ef1d2e6904c0651f6ee3f9,PLoS Biol. 2005 Apr 15; 3(4):e132,PMC1064856,2022-01-13 07:57:14,0,CC BY,no
oa_comm/xml/all/PMC1064857.xml,d3c30732854cfa08c2db48e4f7d0c369,PLoS Biol. 2005 Apr 15; 3(4):e133,PMC1064857,2022-01-13 07:57:13,0,CC BY,no
oa_comm/xml/all/PMC1064858.xml,49b7cb69cdce500f973a3c6c4f310bb4,PLoS Biol. 2005 Apr 15; 3(4):e138,PMC1064858,2022-01-13 07:54:41,0,CC BY,no
oa_comm/xml/all/PMC1064859.xml,87a7b18ae98d6589e36440b0e205b61e,PLoS Biol. 2005 Apr 15; 3(4):e139,PMC1064859,2022-01-13 07:57:16,0,CC BY,no
oa_comm/xml/all/PMC1064860.xml,eadb85f146a080f72438e0b2858261fe,PLoS Biol. 2005 Apr 15; 3(4):e142,PMC1064860,2022-01-13 07:57:14,0,CC BY,no
oa_comm/xml/all/PMC1064861.xml,b68148058b88182d7a15948ec4e96d55,Arthritis Res Ther. 2004 Sep 23; 6(6):R544-R550,PMC1064861,2022-01-13 07:31:49,15535832,CC BY,no
oa_comm/xml/all/PMC1064864.xml,f33c5826660b0ff7a6850b9bdf2604cf,Arthritis Res Ther. 2004 Sep 23; 6(6):R521-R534,PMC1064864,2022-01-13 07:31:48,15535830,CC BY,no
oa_comm/xml/all/PMC1064865.xml,6a304ac085682834bff9e463673d4dce,Arthritis Res Ther. 2004 Sep 22; 6(6):R514-R520,PMC1064865,2022-01-13 07:31:48,15535829,CC BY,no
oa_comm/xml/all/PMC1064866.xml,014a11785ceb40f33bf9b380c2c7f81b,Arthritis Res Ther. 2004 Sep 23; 6(6):R557-R562,PMC1064866,2022-01-13 07:31:48,15535834,CC BY,no
oa_comm/xml/all/PMC1064867.xml,923a0bf9ec8da3118d4cf0fb3ff4126b,Arthritis Res Ther. 2004 Sep 23; 6(6):R551-R556,PMC1064867,2022-01-13 07:31:48,15535833,CC BY,no
oa_comm/xml/all/PMC1064868.xml,ea48170a986fe6a726011d87b4caa4af,Arthritis Res Ther. 2004 Sep 23; 6(6):R535-R543,PMC1064868,2022-01-13 07:31:49,15535831,CC BY,no
oa_comm/xml/all/PMC1064871.xml,62f8a76642d6d72faffe08a72a3475dc,Arthritis Res Ther. 2004 Oct 6; 6(6):R563-R566,PMC1064871,2022-01-13 07:41:53,15540281,CC BY,no
oa_comm/xml/all/PMC1064873.xml,1b78f6e156b8dcd14f3a4d8071f1b186,Arthritis Res Ther. 2004 Oct 13; 6(6):R567-R577,PMC1064873,2022-01-13 07:31:49,15535835,CC BY,no
oa_comm/xml/all/PMC1064878.xml,b581a1ad3e23a6d7402e3736ea34b21e,Arthritis Res Ther. 2005 Oct 29; 7(1):R12-R18,PMC1064878,2022-01-13 07:31:49,15642132,CC BY,no
oa_comm/xml/all/PMC1064879.xml,dadb96d713fe4c829658142a8a4ddd8c,Arthritis Res Ther. 2005 Nov 16; 7(1):R47-R56,PMC1064879,2022-01-13 07:31:51,15642142,CC BY,no
oa_comm/xml/all/PMC1064880.xml,07cb487149afe8fb5ac3c1f8db67d5eb,Arthritis Res Ther. 2005 Oct 29; 7(1):R1-R11,PMC1064880,2022-01-13 07:31:51,15642129,CC BY,no
oa_comm/xml/all/PMC1064881.xml,408bdbeaca71840cf8a6a10a2d9b78ec,Arthritis Res Ther. 2005 Nov 16; 7(1):R80-R92,PMC1064881,2022-01-13 07:31:49,15642146,CC BY,no
oa_comm/xml/all/PMC1064882.xml,890df3174dc77ffa8416d680eb17fe97,Arthritis Res Ther. 2005 Nov 10; 7(1):R30-R37,PMC1064882,2022-01-13 07:31:50,15642140,CC BY,no
oa_comm/xml/all/PMC1064883.xml,5b5a5ffc2141a647802ab800bf5aa3a5,Arthritis Res Ther. 2005 Nov 10; 7(1):R71-R79,PMC1064883,2022-01-13 07:31:49,15642145,CC BY,no
oa_comm/xml/all/PMC1064884.xml,54f5028be81ab6ad46f41c8d0bd580ca,Arthritis Res Ther. 2005 Nov 10; 7(1):R19-R29,PMC1064884,2022-01-13 07:31:50,15642139,CC BY,no
oa_comm/xml/all/PMC1064885.xml,c9f51fb86f39515026d61436ead1c5a9,Arthritis Res Ther. 2005 Nov 16; 7(1):R93-R100,PMC1064885,2022-01-13 07:31:51,15642147,CC BY,no
